id;titul;obsah;pocet_stran;rok_vydani;obalka;vydavatelstvi_id
11;Vitka;"Původní divadelní hra na motivy životního příběhu brněnské hudební skladatelky a dirigentky Vítězslavy Kaprálové (1915–1940) očima jiné brněnské rodačky, spisovatelky Kateřiny Tučkové.

Vitka je příběh o závratném vzestupu mladé talentované ženy, která se dokázala prosadit v oblasti dodnes vyhrazené především mužům. Její život byl fascinující směsicí výjimečného nadání, píle a neústupnosti, ale také svobodomyslnosti, kterou šokovala své okolí. Zemřela v pouhých pětadvaceti letech, válkou odříznutá od domova v jihofrancouzském Montpellieru. V té chvíli však už měla za sebou studia v Brně, Praze a Paříži, složila na čtyřicet oceňovaných skladeb, dirigovala významné evropské orchestry a byla životní i tvůrčí partnerkou Bohuslava Martinů, s jehož ženou Charlottou tvořili proslulý milostný trojúhelník. Či mnohoúhelník, vezmeme-li v úvahu její četné milence, mezi nimiž nechyběli známí představitelé meziválečné avantgardy pobývající toho času v Paříži. Kdyby přežila, byla by jednou z nejslavnějších českých žen.";176;2018;obalky/vitka.png;5
12;Divá Bára;Příběh vesnické dívky, které její okolí přezdívalo „Divá Bára“. Němcová v ní ukazuje, že dobrota srdce a ryzí povaha člověka nesouvisí ani s jeho vzhledem, ani se společenským postavením.;48;1942;obalky/diva-bara.png;6
13;Babička;Jen málokterá kniha se zapsala do srdcí čtenářů tak hluboko jako právě Babička z pera známé české spisovatelky Boženy Němcové. V průběhu let se dočkala mnohých vydání a idylický život na vesnici, jehož středobodem je postava moudré, zbožné i pověrčivé staré ženy, lákal k uměleckému ztvárnění význačné české výtvarníky a ilustrátory. Jsou díla, u kterých čas a prostor nehrají roli. Babička je toho jasným důkazem. V tomto vydání se stírají hranice časoprostoru a na jednom místě se potkávají dvě silné ženské osobnosti – Božena Němcová a Míla Fürstová, světoznámá česká malířka, grafička a ilustrátorka. Dívky, ženy, matky, tvůrkyně, umělkyně… dvě silné osobnosti, dvě mysli spojené v jedno dílo.;304;2021;obalky/babicka.jpeg;7
14;Krakatit;"Čapkův román Krakatit (časop. Lidové noviny, 25. 12. 1923 15. 4. 1924, O. Štorch-Marien 1924) vychází z obdobného vynálezu, jaký autor popsal v Továrně na absolutno. Vynálezce Prokop objeví způsob, jak nechat jakoukoliv látku rozpadnout na atomy. Při tom se výbuchem uvolní obrovské množství energie. Vyrobí látku zvanou ""krakatit""; nejstrašnější výbušninu na světě, kterou je možné přivést k výbuchu na dálku elektromagnetickými vlnami. Prokop si uvědomí dosah svého objevu - vlastník krakatitu by se mohl stát vládcem světa. Uvědomí si to i jiní a pokoušejí se Prokopa o vynález připravit. Část vzorce získá bývalý Prokopův spolupracovník Tomeš a snaží se výbušninu vyrobit také. Prokop svodům odolá, vzorec neprozradí a ke konci je svědkem tragického výbuchu laboratoře, v níž se Tomeš pokoušel výbušninu připravit. Prokop, blouznící v horečkách, se na závěr setkává s pohádkovým stařečkem - bohem a přijímá od něj smiřující poselství o dobru a nutnosti dělat pouze věci prospěšné lidem.";324;2009;obalky/krakatit.jpg;8
15;Bílá nemoc;"Popudem k napsání tohoto dramatu z r. 1937 byl podle autorových slov ""konflikt ideálů demokracie s ideály neomezených a ctižádostivých diktatur"". Jistou zemi napadla epidemie bílé nemoci. Lékař Galén proti ní vynalezl účinný lék. Lék vydá jen tehdy, když se vlády zaváží, že již nikdy nebudou válčit. Hlava státu, v němž bílá nemoc vypukla - výbojný maršál - chce dobývat svět a před ničím se nezastavuje. Bílou nemocí je napaden hlavní zbrojař země baron Krüg. Galén jej odmítá léčit, dokud nebudou splněny jeho podmínky...";122;1948;obalky/bila-nemoc.jpg;9
16;R.U.R.;Čapkovo utopistické drama, v němž se světu poprvé představilo slovo robot. Vypráví o továrně, v níž vznikají roboti, kteří pracují za lidi a umožňují tak vzniku jakéhosi ráje. Jenomže nic netrvá věčně a i roboti můžou začít myslet na sebe...;102;2004;obalky/rur.jpg;10
17;Adam stvořitel;Hlavní hrdina hry Adam se rozhodne zničit svět výstřelem z kanónu negace. To se mu povede, ale Bůh mu umožní (a vlastně i přikáže) stvořit svět od základů znovu. Otázkou je jen jaký. Po R.U.R., Krakatitu se ve spolupráci s bratrem Josefem vrátil Karel Čapek k tématu konce světa. Férie Adam Stvořitel reaguje někdy až parodicky na politická hnutí, která přinášela jednoduchá a přímočará řešení: anarchismus, socialismus, komunismus a fašismus.;92;1929;obalky/adam-stvoritel.jpg;11
18;Zářivé hlubiny;Jedná se o knižní vydání jeho povídek otiskovaných v časopisech, napsaných spolu s bratrem Josefem. (Červená povídka, L'évantail, Skandál a žurnalistika, Mezi dvěma polibky, Ostrov, Živý plamen, Zářivé hlubiny).;205;1924;obalky/zarive-hlubiny.jpeg;11
19;Rozmarné léto;Příběh tří dnů a tří nocí, v nichž zálety a milostná dobrodružství s nenadálými hosty nakrátko rozbouří poklidný život v malém městečku na řece Orši, Krokových Varech. Život kanovníka, bývalého majora, lázeňského a jeho žárlivé ženy Kateřiny zcela naruby obrátí kouzelník a krásná Anna. Kouzlo Rozmarného léta nespočívá ani tak v příběhu samotném, jako v dokonalém vystižení atmosféry ospalého českého maloměsta a ve Vančurově dokonalé a bohaté češtině. Podle románu natočil Jiří Menzel neméně kouzelný film. Rudolf Hrušínský, František Řehák, Vlastimil Brodský, Míla Myslíková, mladičká Jana Preisová a sám režisér jsou nezapomenutelní.;128;2015;obalky/rozmarne-leto.jpg;12
20;Pekař Jan Marhoul;Pekař Jan Marhoul (1924) je románovou prvotinou Vladislava Vančury. Kniha se často zařazuje do proletářské literatury, byť charakterem hlavní postavy, zobrazeným prostředím a svým vyzněním se z ní vymyká. Přesnější by bylo označit ji za dílo svého druhu, které vyniká nevšedním patosem a lyrismem, jedinečným metaforickým stylem a je velmi výrazným příkladem meziválečné avantgardní tvorby. Vančura v něm zobrazil hrdinu donquijotského typu, jehož zhoubná dobrota a s ní korespondující dětinskost utváří jeho specifické bláznovství.;138;1972;obalky/pekar-jan-marhoul.png;13
21;Markéta Lazarová;Klasický román Vladislava Vančury přináší příběh o čisté duši a čisté lásce uprostřed chladného a nemilosrdného středověku. Markéta Lazarová má být zaslíbena bohu a strávit život v bezpečí kláštera, ale namísto toho je unesena čeládkou loupežníka Kozlíka. Uprostřed nelítostné sebranky kupodivu nenachází jen ponížení, ale i lásku, pokoru a pokřivený, leč upřímný smysl pro čest. Poprvé román vyšel v roce 1931 a v roce 1967 na jeho motivy František Vláčil natočil film, který se zařadil k vrcholům české kinematografie.;240;1980;obalky/marketa-lazarova.jpg;3
22;Obsluhoval jsem anglického krále;Od dvacátých do padesátých let prožívá svůj příběh od mládí snaživý a podnikavý muž, který touží po bohatství, po lásce a uznání ve své profesi a poznává život od vybrané společnosti a velkého světa po věznění a osamocení v opuštěném pohraničí, kde končí jako cestář. Existenciální téma autor nepojímá tragicky. Hlavnímu hrdinovi samota umožňuje zbavit se touhy po majetku a uznání, zbavit se lpění na nich a dojít ke svérázné, prosté filozofii života, kde se hořkostí a samotou platí za požitek krásy a svobody.;184;2007;obalky/obsluhoval-jsem-anglickeho-krale.jpeg;14
